author_scopus_id,tcin_author,title,url,cover_date,citations,journal,issn,eissn,journal_norm,issn_norm,eissn_norm,impact_from_eissn,impact_from_issn,impact_from_journal,impact_factor,impact_match_source,impact_band
6602566280,"Bokde, Arun L.W.",Coupled changes between ruminating thoughts and resting-state brain networks during the transition into adulthood,https://api.elsevier.com/content/abstract/scopus_id/85202488935,2024-12-01,8,Molecular Psychiatry,13594184,14765578,molecular psychiatry,13594184,14765578,22.1,22.1,22.1,22.1,eissn,16-32
6602566280,"Bokde, Arun L.W.",Regional patterns of human cortex development correlate with underlying neurobiology,https://api.elsevier.com/content/abstract/scopus_id/85204417573,2024-12-01,20,Nature Communications,,20411723,nature communications,,20411723,23.4,,23.4,23.4,eissn,16-32
6602566280,"Bokde, Arun L.W.",Investigating grey matter volumetric trajectories through the lifespan at the individual level,https://api.elsevier.com/content/abstract/scopus_id/85198952062,2024-12-01,8,Nature Communications,,20411723,nature communications,,20411723,23.4,,23.4,23.4,eissn,16-32
6602566280,"Bokde, Arun L.W.",Gene-environment interactions in the influence of maternal education on adolescent neurodevelopment using ABCD study,https://api.elsevier.com/content/abstract/scopus_id/85209702348,2024-11-15,6,Science Advances,,23752548,science advances,,23752548,19.6,,19.6,19.6,eissn,16-32
6602566280,"Bokde, Arun L.W.",Personality changes during adolescence predict young adult psychosis proneness and mediate gene-environment interplays of schizophrenia risk,https://api.elsevier.com/content/abstract/scopus_id/85209366555,2024-10-01,4,Psychological Medicine,00332917,14698978,psychological medicine,00332917,14698978,13.2,13.2,13.2,13.2,eissn,8-16
6602566280,"Bokde, Arun L.W.",Distinct personality profiles associated with disease risk and diagnostic status in eating disorders,https://api.elsevier.com/content/abstract/scopus_id/85194950087,2024-09-01,4,Journal of Affective Disorders,01650327,15732517,journal of affective disorders,01650327,15732517,9.5,9.5,9.5,9.5,eissn,8-16
6602566280,"Bokde, Arun L.W.","Personality, Social Factors, Brain Functioning, Familial Risk, and Trajectories of Alcohol Misuse in Adolescence",https://api.elsevier.com/content/abstract/scopus_id/85201473209,2024-08-16,5,JAMA Network Open,,25743805,jama network open,,25743805,13.8,,13.8,13.8,eissn,8-16
6602566280,"Bokde, Arun L.W.",Unraveling robust brain-behavior links of depressive complaints through granular network models for understanding heterogeneity,https://api.elsevier.com/content/abstract/scopus_id/85193853217,2024-08-15,6,Journal of Affective Disorders,01650327,15732517,journal of affective disorders,01650327,15732517,9.5,9.5,9.5,9.5,eissn,8-16
6602566280,"Bokde, Arun L.W.","Proceedings of the 15th International Newborn Brain Conference: Neuro-imaging studies: Fota Island, Cork, Ireland, February 28th - March 2nd 2024",https://api.elsevier.com/content/abstract/scopus_id/105019731197,2024-08-05,1,Journal of Neonatal Perinatal Medicine,,18784429,journal of neonatal perinatal medicine,,18784429,2.0,,2.0,2.0,eissn,2-4
6602566280,"Bokde, Arun L.W.",Cortical structure and subcortical volumes in conduct disorder: a coordinated analysis of 15 international cohorts from the ENIGMA-Antisocial Behavior Working Group,https://api.elsevier.com/content/abstract/scopus_id/85198588569,2024-08-01,16,Lancet Psychiatry,22150366,22150374,lancet psychiatry,22150366,22150374,44.3,44.3,44.3,44.3,eissn,32+
6602566280,"Bokde, Arun L.W.","Light Cannabis Use and the Adolescent Brain: An 8-years Longitudinal Assessment of Mental Health, Cognition, and Reward Processing",https://api.elsevier.com/content/abstract/scopus_id/85189016194,2024-07-01,5,Psychopharmacology,00333158,14322072,psychopharmacology,00333158,14322072,7.3,7.3,7.3,7.3,eissn,4-8
6602566280,"Bokde, Arun L.W.",The relationship between negative life events and cortical structural connectivity in adolescents,https://api.elsevier.com/content/abstract/scopus_id/85183941541,2024-06-01,3,Ibro Neuroscience Reports,26672421,,ibro neuroscience reports,26672421,,,3.4,3.4,3.4,issn,2-4
6602566280,"Bokde, Arun L.W.",Autobiographical Cerebral Network Activation in Older Adults Before and After Reminiscence Therapy: A Preliminary Report,https://api.elsevier.com/content/abstract/scopus_id/85175689824,2024-04-01,3,Biological Research for Nursing,10998004,15524175,biological research for nursing,10998004,15524175,5.2,5.2,5.2,5.2,eissn,4-8
6602566280,"Bokde, Arun L.W.",The genetic architecture of the human hypothalamus and its involvement in neuropsychiatric behaviours and disorders,https://api.elsevier.com/content/abstract/scopus_id/85181497496,2024-04-01,13,Nature Human Behaviour,,23973374,nature human behaviour,,23973374,31.0,,31.0,31.0,eissn,16-32
6602566280,"Bokde, Arun L.W.",Adolescents’ pain-related ontogeny shares a neural basis with adults’ chronic pain in basothalamo-cortical organization,https://api.elsevier.com/content/abstract/scopus_id/85183906144,2024-02-16,1,Iscience,,25890042,iscience,,25890042,6.9,,6.9,6.9,eissn,4-8
6602566280,"Bokde, Arun L.W.",Adolescent to young adult longitudinal development of subcortical volumes in two European sites with four waves,https://api.elsevier.com/content/abstract/scopus_id/85185862128,2024-02-15,5,Human Brain Mapping,10659471,10970193,human brain mapping,10659471,10970193,8.1,8.1,8.1,8.1,eissn,8-16
6602566280,"Bokde, Arun L.W.",Ruminative thinking mediates the effects of exposure to adverse life events on psychotic-like experiences,https://api.elsevier.com/content/abstract/scopus_id/85212711495,2024-01-01,5,Frontiers in Psychology,,16641078,frontiers in psychology,,16641078,6.3,,6.3,6.3,eissn,4-8
6602566280,"Bokde, Arun L.W.",Genetic architectures of cerebral ventricles and their overlap with neuropsychiatric traits,https://api.elsevier.com/content/abstract/scopus_id/85174549596,2024-01-01,16,Nature Human Behaviour,,23973374,nature human behaviour,,23973374,31.0,,31.0,31.0,eissn,16-32
6602566280,"Bokde, Arun L.W.",Whole-brain gray matter maturation trajectories associated with autistic traits from adolescence to early adulthood,https://api.elsevier.com/content/abstract/scopus_id/85173838495,2024-01-01,1,Brain Structure and Function,18632653,18632661,brain structure and function,18632653,18632661,6.3,6.3,6.3,6.3,eissn,4-8
6602566280,"Bokde, Arun L.W.",Association between vmPFC gray matter volume and smoking initiation in adolescents,https://api.elsevier.com/content/abstract/scopus_id/85168059631,2023-12-01,23,Nature Communications,,20411723,nature communications,,20411723,23.4,,23.4,23.4,eissn,16-32
